소환사명,소속,경기수,승,패,승률,킬,데스,어시스트,KDA,킬관여
Faker,T1,263,190,73,72.20%,976,567,1425,4.2,61.10%
Xiaohu,Royal Never Give Up,183,124,59,67.80%,619,385,1121,4.5,65%
Ming,Royal Never Give Up,142,100,42,70.40%,126,330,1315,4.4,68.50%
Impact,Evil Geniuses,147,85,62,57.80%,370,356,763,3.2,57.70%
Caps,G2 Esports,151,83,68,55%,542,439,855,3.2,66.90%
Bang,Afreeca Freecs,111,80,31,72.10%,447,176,609,6,65.80%
Wolf,SK Telecom T1,111,80,31,72.10%,67,237,1018,4.6,67.50%
Deft,KT Rolster,127,80,47,63%,534,246,713,5.1,67.90%
BeryL,KT Rolster,108,80,28,74.10%,101,287,924,3.6,63.80%
Peanut,Gen.G eSports,121,76,45,62.80%,347,217,716,4.9,67.50%
Perkz,Cloud 9,149,74,75,49.70%,525,395,719,3.1,63.40%
Ruler,JDG Intel Esports Club,111,74,37,66.70%,433,173,544,5.6,66.20%
ShowMaker,Dplus KIA,102,72,30,70.60%,377,152,635,6.7,66.40%
Canyon,Gen.G e-sports,102,72,30,70.60%,321,203,729,5.2,69%
Uzi,Royal Never Give Up,109,68,41,62.40%,547,195,510,5.4,70.40%
Jankos,G2 Esports,120,68,52,56.70%,329,314,779,3.5,67.70%
Khan,DWG KIA,106,68,38,64.20%,335,255,546,3.5,60.20%
Keria,T1,97,67,30,69.10%,101,185,872,5.3,70.40%
GALA,Royal Never Give Up,93,65,28,69.90%,459,160,489,5.9,61.10%
Maple,PSG Talon,126,64,62,50.80%,465,231,644,4.8,69%
Gumayusi,T1,88,63,25,71.60%,376,140,416,5.7,63.10%
Oner,T1,88,63,25,71.60%,252,184,629,4.8,72.60%
PraY,kt Rolster,96,62,34,64.60%,372,228,576,4.2,65.90%
Meiko,EDward Gaming,105,62,43,59%,99,248,1039,4.6,73.50%
bengi,SK Telecom T1,71,60,11,84.50%,195,160,609,5,66.20%
SwordArt,Suning,116,60,56,51.70%,71,239,930,4.2,69.10%
Wei,Royal Never Give Up,82,60,22,73.20%,301,182,654,5.2,68.90%
Mata,SK Telecom T1,90,58,32,64.40%,71,221,865,4.2,66.60%
Karsa,Top Esports,111,58,53,52.30%,326,247,655,4,70.90%
Bin,Bilibili Gaming,86,57,29,66.30%,290,229,432,3.2,50.30%
Rekkles,Fnatic,106,54,52,50.90%,389,182,530,5,68.50%
Jensen,Team Liquid,99,53,46,53.50%,349,216,483,3.9,71.10%
Zeus,T1,74,53,21,71.60%,247,180,380,3.5,58.40%
CoreJJ,Team Liquid,89,52,37,58.40%,78,203,664,3.7,66.10%
Wunder,Fnatic,91,51,40,56%,245,258,404,2.5,50.60%
Hanabi,PSG Talon,98,49,49,50%,241,231,487,3.2,57%
JackeyLove,Top Esports,73,48,25,65.80%,350,175,402,4.3,64.60%
GorillA,DWG KIA,80,47,33,58.80%,61,233,735,3.4,70%
Huni,Clutch Gaming,80,47,33,58.80%,227,248,432,2.7,59.30%
Chovy,Gen.G eSports,80,47,33,58.80%,245,133,398,4.8,59.90%
xiye,LGD Gaming,69,46,23,66.70%,269,140,402,4.8,72.30%
Mlxg,Royal Never Give Up,69,46,23,66.70%,179,168,491,4,72.20%
Ghost,Nongshim RedForce,61,45,16,73.80%,272,99,327,6.1,64.20%
Sneaky,Cloud 9,84,43,41,51.20%,273,200,400,3.4,66.20%
Scout,EDward Gaming,81,43,38,53.10%,294,158,405,4.4,67.70%
TheShy,Invictus Gaming,64,43,21,67.20%,203,200,340,2.7,56.50%
